       CYCLE                    TASK                       JOBID               STATE         EXIT STATUS     TRIES      DURATION
197001010000    datm_cdeps_gfs_intel                      289842           SUCCEEDED                   0         1         172.0
197001010000    compile_datm_cdeps_debug_intel                      289844           SUCCEEDED                   0         1         121.0
197001010000    datm_cdeps_debug_cfsr_intel                      289850           SUCCEEDED                   0         1         232.0
197001010000    compile_datm_cdeps_faster_intel                      289843           SUCCEEDED                   0         1         232.0
197001010000    datm_cdeps_control_cfsr_faster_intel                      289856           SUCCEEDED                   0         1         110.0
197001010000    compile_datm_cdeps_land_intel                      289847           SUCCEEDED                   0         1          39.0
197001010000    datm_cdeps_lnd_gswp3_intel                      289849           SUCCEEDED                   0         1          56.0
197001010000    datm_cdeps_lnd_era5_intel                      289848           SUCCEEDED                   0         1          40.0
197001010000    compile_atm_ds2s_docn_pcice_intel                      289846           SUCCEEDED                   0         1         354.0
197001010000    atm_ds2s_docn_pcice_intel                      289860           SUCCEEDED                   0         1         193.0
197001010000    compile_atm_ds2s_docn_dice_intel                      289845           SUCCEEDED                   0         1         331.0
197001010000    atm_ds2s_docn_dice_intel                      289861           SUCCEEDED                   0         1         241.0
197001010000      compile_atml_intel                      289853           SUCCEEDED                   0         1         375.0
197001010000    control_p8_atmlnd_intel                      289864           SUCCEEDED                   0         1         179.0
197001010000    compile_atml_debug_intel                      289852           SUCCEEDED                   0         1         173.0
197001010000    control_p8_atmlnd_debug_intel                      289858           SUCCEEDED                   0         1         246.0
197001010000      compile_atmw_intel                      289854           SUCCEEDED                   0         1         451.0
197001010000    atmwav_control_noaero_p8_intel                      289868           SUCCEEDED                   0         1         104.0
197001010000    compile_atmaero_intel                      289851           SUCCEEDED                   0         1         348.0
197001010000    atmaero_control_p8_intel                      289863           SUCCEEDED                   0         1         220.0
197001010000    atmaero_control_p8_rad_intel                      289865           SUCCEEDED                   0         1         242.0
197001010000    atmaero_control_p8_rad_micro_intel                      289866           SUCCEEDED                   0         1         211.0
197001010000     compile_atmaq_intel                      289855           SUCCEEDED                   0         1         351.0
197001010000    regional_atmaq_intel                      289867           SUCCEEDED                   0         1         746.0
197001010000    compile_atmaq_debug_intel                      289857           SUCCEEDED                   0         1         124.0
197001010000    regional_atmaq_debug_intel                      289869           SUCCEEDED                   0         1        1717.0
197001010000    compile_atm_fbh_intel                      289859           SUCCEEDED                   0         1         338.0
197001010000    cpld_regional_atm_fbh_intel                      289872           SUCCEEDED                   0         1         361.0
197001010000    compile_s2swa_32bit_pdlib_intelllvm                      289862           SUCCEEDED                   0         1         660.0
197001010000    cpld_control_gfsv17_intelllvm                      289882           SUCCEEDED                   0         1         756.0
197001010000    compile_s2swa_32bit_pdlib_debug_intelllvm                      289870           SUCCEEDED                   0         1         161.0
197001010000    cpld_debug_gfsv17_intelllvm                      289883                DEAD                   1         3         160.0
197001010000    compile_s2swa_32bit_pdlib_sfs_intelllvm                      289871           SUCCEEDED                   0         1         707.0
197001010000    cpld_control_sfs_intelllvm                      289891           SUCCEEDED                   0         1         754.0
197001010000    compile_s2swa_intelllvm                      289874           SUCCEEDED                   0         1         477.0
197001010000    cpld_control_p8_intelllvm                      289885           SUCCEEDED                   0         1         508.0
197001010000    compile_rrfs_dyn32_phy32_intelllvm                      289873           SUCCEEDED                   0         1         305.0
197001010000    rap_control_dyn32_phy32_intelllvm                      289879           SUCCEEDED                   0         1         268.0
197001010000    compile_rrfs_dyn64_phy32_intelllvm                      289875           SUCCEEDED                   0         1         328.0
197001010000    rap_control_dyn64_phy32_intelllvm                      289881           SUCCEEDED                   0         1         184.0
197001010000    compile_hafsw_intelllvm                      289876           SUCCEEDED                   0         1         446.0
197001010000    hafs_regional_storm_following_1nest_atm_ocn_intelllvm                      289888           SUCCEEDED                   0         1         181.0
197001010000    compile_hafsw_debug_intelllvm                      289880           SUCCEEDED                   0         1         139.0
197001010000    hafs_regional_storm_following_1nest_atm_ocn_debug_intelllvm                      289884           SUCCEEDED                   0         1         527.0
197001010000    compile_datm_cdeps_intelllvm                      289886           SUCCEEDED                   0         1         232.0
197001010000    datm_cdeps_control_cfsr_intelllvm                      289896           SUCCEEDED                   0         1         109.0
197001010000    compile_datm_cdeps_debug_intelllvm                      289887           SUCCEEDED                   0         1         131.0
197001010000    datm_cdeps_debug_cfsr_intelllvm                      289893           SUCCEEDED                   0         1         229.0
197001010000         compile_atm_gnu                      289889           SUCCEEDED                   0         1         159.0
197001010000         control_c48_gnu                      289895           SUCCEEDED                   0         1         371.0
197001010000      control_stochy_gnu                      289894           SUCCEEDED                   0         1         117.0
197001010000         control_ras_gnu                      289898           SUCCEEDED                   0         1         187.0
197001010000          control_p8_gnu                      289897           SUCCEEDED                   0         1         208.0
197001010000    control_p8_ugwpv1_gnu                      289899           SUCCEEDED                   0         1         214.0
197001010000       control_flake_gnu                      289900           SUCCEEDED                   0         1         244.0
197001010000        compile_rrfs_gnu                      289890           SUCCEEDED                   0         1         164.0
197001010000         rap_control_gnu                      289901           SUCCEEDED                   0         1         394.0
197001010000         rap_sfcdiff_gnu                      289902           SUCCEEDED                   0         1         394.0
197001010000        hrrr_control_gnu                      289903           SUCCEEDED                   0         1         206.0
197001010000         rrfs_v1beta_gnu                      289906           SUCCEEDED                   0         1         395.0
197001010000      compile_csawmg_gnu                      289892           SUCCEEDED                   0         1         151.0
197001010000      control_csawmg_gnu                      289904           SUCCEEDED                   0         1         371.0
197001010000    compile_atm_dyn32_debug_gnu                      289907           SUCCEEDED                   0         1         228.0
197001010000    control_diag_debug_gnu                      289912           SUCCEEDED                   0         1         116.0
197001010000      regional_debug_gnu                      289911           SUCCEEDED                   0         1         356.0
197001010000    rap_control_debug_gnu                      289915           SUCCEEDED                   0         1         117.0
197001010000    hrrr_control_debug_gnu                      289913           SUCCEEDED                   0         1         113.0
